model_name,policy,rows,call_rate,decision_mean_utility,utility_capture_rate,precision,unhelpful_call_cost_sum,unhelpful_call_rows
softmax_logistic_classifier__baseline,maturity3_callcap_0.9,64800,0.03686728395061729,0.004190778005672037,0.5450684631265371,0.31059020510673924,133.44445732606428,1647
softmax_logistic_classifier__baseline,maturity3_callcap_0.8,64800,0.03671296296296296,0.004188417149943229,0.5442637924254683,0.3110550651534258,132.99953943874013,1639
softmax_logistic_classifier__baseline,maturity3_callcap_0.7,64800,0.03638888888888889,0.004142463052194147,0.5384626369416201,0.31170483460559795,131.6668829032243,1623
softmax_logistic_classifier__baseline,maturity3_callcap_0.6,64800,0.03611111111111111,0.004118876352951773,0.5356875204725932,0.3111111111111111,131.1332825396634,1612
softmax_logistic_classifier__baseline,maturity3_callcap_0.5,64800,0.035540123456790126,0.004048850601968721,0.52791615068794,0.30959617889709073,129.89652398680744,1590
softmax_logistic_classifier__best_candidate,global_train_utility,64800,0.03726851851851852,0.004119189127453949,0.5455379751268944,0.3072463768115942,138.43228214331504,1673
softmax_logistic_classifier__best_candidate,maturity3_train_utility,64800,0.03762345679012346,0.004148310322134173,0.5503591218161814,0.30721903199343725,140.12752649909518,1689
softmax_logistic_classifier__best_candidate,maturity3_callcap_0.9,64800,0.03714506172839506,0.004140681727669925,0.5457718124238049,0.30868300789364356,137.21331177174895,1664
softmax_logistic_classifier__best_candidate,maturity3_callcap_0.8,64800,0.03669753086419753,0.004092367589643505,0.538926857460602,0.308242220353238,135.2580026106575,1645
softmax_logistic_classifier__best_candidate,maturity3_callcap_0.7,64800,0.03623456790123457,0.004060105494926647,0.533767415419764,0.3083475298126065,133.5149220949757,1624
softmax_logistic_classifier__best_candidate,maturity3_callcap_0.6,64800,0.035632716049382715,0.003970213141077025,0.5230880439841615,0.3079255088783023,131.40476212256223,1598
softmax_logistic_classifier__best_candidate,maturity3_callcap_0.5,64800,0.03510802469135803,0.003891549716917329,0.5144700925443033,0.30813186813186816,130.09868199905708,1574
linear_svm_classifier__baseline,global_train_utility,64800,0.035972222222222225,0.003984382703588915,0.5292369546763008,0.30673530673530675,135.05545206181313,1616
linear_svm_classifier__baseline,maturity3_train_utility,64800,0.028796296296296296,0.0028328233363234725,0.40798270169269385,0.297427652733119,119.57991661068111,1311
linear_svm_classifier__baseline,maturity3_callcap_0.9,64800,0.0275,0.002635909793147754,0.3865668922424188,0.2946127946127946,116.42714253744329,1257
linear_svm_classifier__baseline,maturity3_callcap_0.8,64800,0.02654320987654321,0.0025300181673660457,0.37338770482408856,0.2941860465116279,113.49627578167446,1214
linear_svm_classifier__baseline,maturity3_callcap_0.7,64800,0.025787037037037035,0.0024346244487505227,0.3624040746812773,0.29323758228605623,111.51652830215025,1181
linear_svm_classifier__baseline,maturity3_callcap_0.6,64800,0.024907407407407406,0.0022917430948096104,0.3466864402245583,0.29120198265179675,109.09643196355522,1144
linear_svm_classifier__baseline,maturity3_callcap_0.5,64800,0.02388888888888889,0.0021437442487485655,0.32954693017851294,0.28940568475452194,105.95144076008015,1100
linear_svm_classifier__best_candidate,global_train_utility,64800,0.038287037037037036,0.004230741122249893,0.5596279778139582,0.3067311567916163,141.6731278295249,1720
