model_name,policy,rows,call_rate,decision_mean_utility,utility_capture_rate,precision,unhelpful_call_cost_sum,unhelpful_call_rows
softmax_logistic_classifier__best_candidate,global_callcap_0.7,64800,0.03603395061728395,0.004041670535533117,0.5310827869605244,0.3083511777301927,132.71472506740014,1615
softmax_logistic_classifier__best_candidate,global_callcap_0.6,64800,0.03550925925925926,0.003977759906374519,0.522525350905067,0.30812690134724036,130.49762909036932,1592
softmax_logistic_classifier__best_candidate,global_callcap_0.5,64800,0.0350462962962963,0.003857888623079933,0.5104923301670592,0.30603258476442097,129.32429015197937,1576
softmax_logistic_classifier__best_candidate,maturity3_train_utility,64800,0.03726851851851852,0.004119189127453949,0.5455379751268944,0.3072463768115942,138.43228214331504,1673
softmax_logistic_classifier__best_candidate,maturity3_callcap_0.9,64800,0.03692901234567901,0.004093165720166656,0.5409149471500313,0.3075637275386544,136.68351100222748,1657
softmax_logistic_classifier__best_candidate,maturity3_callcap_0.8,64800,0.03634259259259259,0.004051411372496227,0.5338511929010834,0.3078556263269639,134.14055112541814,1630
softmax_logistic_classifier__best_candidate,maturity3_callcap_0.7,64800,0.03603395061728395,0.004041670535533117,0.5310827869605244,0.3083511777301927,132.71472506740014,1615
softmax_logistic_classifier__best_candidate,maturity3_callcap_0.6,64800,0.03550925925925926,0.003977759906374519,0.522525350905067,0.30812690134724036,130.49762909036932,1592
softmax_logistic_classifier__best_candidate,maturity3_callcap_0.5,64800,0.0350462962962963,0.003857888623079933,0.5104923301670592,0.30603258476442097,129.32429015197937,1576
linear_svm_classifier__baseline,global_train_utility,64800,0.035972222222222225,0.003984382703588915,0.5292369546763008,0.30673530673530675,135.05545206181313,1616
linear_svm_classifier__baseline,global_callcap_0.9,64800,0.035493827160493825,0.003902787557510499,0.520113096854028,0.30782608695652175,133.5634395816112,1592
linear_svm_classifier__baseline,global_callcap_0.8,64800,0.03489197530864198,0.0038110600528259747,0.509124775581421,0.30915524104378594,131.3426357491494,1562
linear_svm_classifier__baseline,global_callcap_0.7,64800,0.03435185185185185,0.0036855115821723323,0.4957925567963978,0.3063791554357592,129.57182433862775,1544
linear_svm_classifier__baseline,global_callcap_0.6,64800,0.03371913580246914,0.003523719850237624,0.4798665921442476,0.30434782608695654,128.22232313090626,1520
linear_svm_classifier__baseline,global_callcap_0.5,64800,0.03302469135802469,0.0034156196683691607,0.46831700114332175,0.30327102803738315,126.64542374352303,1491
linear_svm_classifier__baseline,maturity3_train_utility,64800,0.035972222222222225,0.003984382703588915,0.5292369546763008,0.30673530673530675,135.05545206181313,1616
linear_svm_classifier__baseline,maturity3_callcap_0.9,64800,0.035493827160493825,0.003902787557510499,0.520113096854028,0.30782608695652175,133.5634395816112,1592
linear_svm_classifier__baseline,maturity3_callcap_0.8,64800,0.03489197530864198,0.0038110600528259747,0.509124775581421,0.30915524104378594,131.3426357491494,1562
linear_svm_classifier__baseline,maturity3_callcap_0.7,64800,0.03435185185185185,0.0036855115821723323,0.4957925567963978,0.3063791554357592,129.57182433862775,1544
linear_svm_classifier__baseline,maturity3_callcap_0.6,64800,0.03371913580246914,0.003523719850237624,0.4798665921442476,0.30434782608695654,128.22232313090626,1520
linear_svm_classifier__baseline,maturity3_callcap_0.5,64800,0.03302469135802469,0.0034156196683691607,0.46831700114332175,0.30327102803738315,126.64542374352303,1491
linear_svm_classifier__best_candidate,global_train_utility,64800,0.038287037037037036,0.004230741122249893,0.5596279778139582,0.3067311567916163,141.6731278295249,1720
linear_svm_classifier__best_candidate,global_callcap_0.9,64800,0.0379320987654321,0.004276092238527174,0.5595492099624382,0.30919446704637915,138.6758479457906,1698
linear_svm_classifier__best_candidate,global_callcap_0.8,64800,0.03756172839506173,0.004303907037866228,0.5579024145111812,0.31183237469186526,135.6498164697458,1675
linear_svm_classifier__best_candidate,global_callcap_0.7,64800,0.03734567901234568,0.004332942447555416,0.5579024145111812,0.31363636363636366,133.76832192188647,1661
linear_svm_classifier__best_candidate,global_callcap_0.6,64800,0.03720679012345679,0.004331454535798251,0.5568856450200941,0.31356283699709664,133.10923969107614,1655
linear_svm_classifier__best_candidate,global_callcap_0.5,64800,0.037083333333333336,0.004331337317163647,0.5563979438265756,0.3141905950894715,132.75445467844781,1648
linear_svm_classifier__best_candidate,maturity3_train_utility,64800,0.038287037037037036,0.004230741122249893,0.5596279778139582,0.3067311567916163,141.6731278295249,1720
linear_svm_classifier__best_candidate,maturity3_callcap_0.9,64800,0.0379320987654321,0.004276092238527174,0.5595492099624382,0.30919446704637915,138.6758479457906,1698
linear_svm_classifier__best_candidate,maturity3_callcap_0.8,64800,0.03756172839506173,0.004303907037866228,0.5579024145111812,0.31183237469186526,135.6498164697458,1675
linear_svm_classifier__best_candidate,maturity3_callcap_0.7,64800,0.03734567901234568,0.004332942447555416,0.5579024145111812,0.31363636363636366,133.76832192188647,1661
linear_svm_classifier__best_candidate,maturity3_callcap_0.6,64800,0.03720679012345679,0.004331454535798251,0.5568856450200941,0.31356283699709664,133.10923969107614,1655
linear_svm_classifier__best_candidate,maturity3_callcap_0.5,64800,0.037083333333333336,0.004331337317163647,0.5563979438265756,0.3141905950894715,132.75445467844781,1648
