model_name,policy,layer,rows,call_rate,decision_mean_utility,utility_capture_rate,precision,unhelpful_call_cost_sum,unhelpful_call_rows
lda_classifier__best_candidate,maturity3_callcap_0.8,same_algorithm,48240,0.034203980099502485,-0.002695370179316451,0.02680751347278049,0.01818181818181818,133.66651469895984,1620
lda_classifier__best_candidate,maturity3_callcap_0.8,dimension_40,21600,0.03754629629629629,-0.0031358205056390676,0.33013832905322466,0.11097410604192355,97.53251707687805,721
lda_classifier__best_candidate,maturity3_callcap_0.8,FE_ratio_025_035,25920,0.041589506172839505,-0.0025811746300145933,0.013103840600185719,0.015769944341372914,68.55143020206057,1061
lda_classifier__best_candidate,maturity3_callcap_0.7,overall,64800,0.037453703703703704,0.0043610346146282,0.5609896149587004,0.315203955500618,134.24185839208525,1662
lda_classifier__best_candidate,maturity3_callcap_0.7,same_algorithm,48240,0.0341832504145937,-0.0026915089462968902,0.02680751347278049,0.018192844147968467,133.48024881809624,1619
lda_classifier__best_candidate,maturity3_callcap_0.7,dimension_40,21600,0.037453703703703704,-0.00312742126409124,0.33008468202477553,0.1100123609394314,97.34625119601445,720
lda_classifier__best_candidate,maturity3_callcap_0.7,FE_ratio_025_035,25920,0.041589506172839505,-0.0025811746300145933,0.013103840600185719,0.015769944341372914,68.55143020206057,1061
lda_classifier__best_candidate,maturity3_callcap_0.6,overall,64800,0.037376543209876545,0.004371952124246397,0.5609739422744133,0.31544178364987613,133.52275836046013,1658
lda_classifier__best_candidate,maturity3_callcap_0.6,same_algorithm,48240,0.03410033167495854,-0.0026766022292234013,0.02680751347278049,0.0182370820668693,132.76114878647115,1615
lda_classifier__best_candidate,maturity3_callcap_0.6,dimension_40,21600,0.037314814814814815,-0.003095651843954747,0.33008468202477553,0.11042183622828784,96.66003172106619,717
lda_classifier__best_candidate,maturity3_callcap_0.6,FE_ratio_025_035,25920,0.041589506172839505,-0.0025811746300145933,0.013103840600185719,0.015769944341372914,68.55143020206057,1061
lda_classifier__best_candidate,maturity3_callcap_0.5,overall,64800,0.03734567901234568,0.004371362441730798,0.5608878568933299,0.31528925619834713,133.49700503206105,1657
lda_classifier__best_candidate,maturity3_callcap_0.5,same_algorithm,48240,0.034058872305140965,-0.002677394340065251,0.026336672381183326,0.017650639074863056,132.73539545807205,1614
lda_classifier__best_candidate,maturity3_callcap_0.5,dimension_40,21600,0.037314814814814815,-0.003095651843954747,0.33008468202477553,0.11042183622828784,96.66003172106619,717
lda_classifier__best_candidate,maturity3_callcap_0.5,FE_ratio_025_035,25920,0.041512345679012345,-0.0025826488363035922,0.012595043583394475,0.01486988847583643,68.5256768736615,1060
softmax_logistic_classifier__baseline,global_train_utility,overall,64800,0.037253086419753084,0.004086558466244095,0.5435198128440202,0.30654515327257664,139.04717664447872,1674
softmax_logistic_classifier__baseline,global_train_utility,same_algorithm,48240,0.034328358208955224,-0.0027990419155546446,0.02233544619874329,0.016304347826086956,138.06009948325297,1629
softmax_logistic_classifier__baseline,global_train_utility,dimension_40,21600,0.038842592592592595,-0.0033450949211268582,0.33008468202477553,0.10607866507747318,102.04800218798381,750
softmax_logistic_classifier__baseline,global_train_utility,FE_ratio_025_035,25920,0.042708333333333334,-0.0028024166862512484,0.012672896721378708,0.014453477868112014,74.23184705634726,1091
softmax_logistic_classifier__baseline,maturity3_train_utility,overall,64800,0.03712962962962963,0.004226304133660515,0.5497936510051556,0.3104738154613466,134.65336090940943,1659
softmax_logistic_classifier__baseline,maturity3_train_utility,same_algorithm,48240,0.03410033167495854,-0.002699900619129834,0.026550015104837565,0.01762917933130699,133.85008141914676,1616
softmax_logistic_classifier__baseline,maturity3_train_utility,dimension_40,21600,0.03763888888888889,-0.0031440820980987126,0.33008468202477553,0.10947109471094711,97.70612521057586,724
softmax_logistic_classifier__baseline,maturity3_train_utility,FE_ratio_025_035,25920,0.04220679012345679,-0.0026775586389345177,0.013103840600185719,0.015539305301645339,71.04970371326499,1077
softmax_logistic_classifier__baseline,maturity3_callcap_0.9,overall,64800,0.03686728395061729,0.004190778005672037,0.5450684631265371,0.31059020510673924,133.44445732606428,1647
softmax_logistic_classifier__baseline,maturity3_callcap_0.9,same_algorithm,48240,0.033851575456053065,-0.0026857840163094825,0.02273424194560959,0.017146356399265157,132.65071566703375,1605
softmax_logistic_classifier__baseline,maturity3_callcap_0.9,dimension_40,21600,0.03740740740740741,-0.0031055930465195085,0.33008468202477553,0.11014851485148515,96.87476169646507,719
softmax_logistic_classifier__baseline,maturity3_callcap_0.9,FE_ratio_025_035,25920,0.041859567901234566,-0.002642546080540423,0.013103840600185719,0.01566820276497696,70.14217819969006,1068
softmax_logistic_classifier__baseline,maturity3_callcap_0.8,overall,64800,0.03671296296296296,0.004188417149943229,0.5442637924254683,0.3110550651534258,132.99953943874013,1639
softmax_logistic_classifier__baseline,maturity3_callcap_0.8,same_algorithm,48240,0.033706467661691546,-0.002677625610831527,0.02273424194560959,0.017220172201722016,132.2571541867772,1598
softmax_logistic_classifier__baseline,maturity3_callcap_0.8,dimension_40,21600,0.037314814814814815,-0.0030945345653512588,0.33008468202477553,0.11042183622828784,96.63589850323086,717
softmax_logistic_classifier__baseline,maturity3_callcap_0.8,FE_ratio_025_035,25920,0.04162808641975309,-0.002628557995169615,0.013103840600185719,0.015755329008341055,69.77960702687872,1062
softmax_logistic_classifier__baseline,maturity3_callcap_0.7,overall,64800,0.03638888888888889,0.004142463052194147,0.5384626369416201,0.31170483460559795,131.6668829032243,1623
softmax_logistic_classifier__baseline,maturity3_callcap_0.7,same_algorithm,48240,0.03335406301824212,-0.0026529114215292607,0.021700440966286844,0.01678060907395898,130.92449765126136,1582
softmax_logistic_classifier__baseline,maturity3_callcap_0.7,dimension_40,21600,0.037037037037037035,-0.003052381163236846,0.33008468202477553,0.11125,95.72538501755955,711
softmax_logistic_classifier__baseline,maturity3_callcap_0.7,FE_ratio_025_035,25920,0.04128086419753087,-0.0025972197906231,0.013103840600185719,0.01588785046728972,68.96732076503307,1053
softmax_logistic_classifier__baseline,maturity3_callcap_0.6,overall,64800,0.03611111111111111,0.004118876352951773,0.5356875204725932,0.3111111111111111,131.1332825396634,1612
softmax_logistic_classifier__baseline,maturity3_callcap_0.6,same_algorithm,48240,0.03308457711442786,-0.0026449590671487485,0.020596455249134994,0.015664160401002505,130.39089728770048,1571
softmax_logistic_classifier__baseline,maturity3_callcap_0.6,dimension_40,21600,0.036944444444444446,-0.0030411429608808676,0.33008468202477553,0.11152882205513784,95.4826398466704,709
softmax_logistic_classifier__baseline,maturity3_callcap_0.6,FE_ratio_025_035,25920,0.04085648148148148,-0.0025851894112767396,0.011910859253630729,0.014164305949008499,68.5055145441304,1044
softmax_logistic_classifier__baseline,maturity3_callcap_0.5,overall,64800,0.035540123456790126,0.004048850601968721,0.52791615068794,0.30959617889709073,129.89652398680744,1590
softmax_logistic_classifier__baseline,maturity3_callcap_0.5,same_algorithm,48240,0.03264925373134328,-0.002621418051229906,0.020021525987361476,0.015238095238095238,129.17717332690026,1551
softmax_logistic_classifier__baseline,maturity3_callcap_0.5,dimension_40,21600,0.03671296296296296,-0.003012006500842838,0.32960289613547633,0.11097099621689786,94.80980557329457,705
