model_name,model_family,objective,eval_split,layer,group,label_source,dimension,FE_ratio,rows,u_gt_zero_rows,u_gt_zero_rate,mean_observed_utility,median_observed_utility,positive_utility_sum,mae,rmse,r2,pearson,spearman,roc_auc_u_gt_zero,average_precision_u_gt_zero,score_mean,score_median,candidate_id,base_model_name,estimator,feature_scheme,role,params_json
lda_classifier__best_candidate,lda,classification,bbob_train,dimension,dimension=20,,20.0,,64800,3858,0.059537037037037034,-0.07228172978918257,-0.06716881295115272,823.0687800379324,,,,0.14025895440551414,0.2610586058096664,0.7975200999738696,0.21491636658989405,0.08089280978139282,0.021118019564617438,lda_classifier__raw_primary_with_maturity__best_candidate__shrinkage_0p5__solver_lsqr,lda_classifier,"LinearDiscriminantAnalysis(solver='lsqr',shrinkage=0.5)",raw_primary_with_maturity,best_candidate,"{""shrinkage"": 0.5, ""solver"": ""lsqr""}"
lda_classifier__best_candidate,lda,classification,bbob_train,dimension,dimension=40,,40.0,,64800,5658,0.08731481481481482,-0.1531640918533896,-0.14272675969545875,1380.025477481347,,,,0.14438691994140232,0.290196159122661,0.7597063123438111,0.20143180389143575,0.08281586824598659,0.02376999948537307,lda_classifier__raw_primary_with_maturity__best_candidate__shrinkage_0p5__solver_lsqr,lda_classifier,"LinearDiscriminantAnalysis(solver='lsqr',shrinkage=0.5)",raw_primary_with_maturity,best_candidate,"{""shrinkage"": 0.5, ""solver"": ""lsqr""}"
lda_classifier__best_candidate,lda,classification,bbob_train,FE_ratio,FE_ratio=0.2,,,0.2,19440,1637,0.08420781893004116,-0.06196176210011554,-0.05049860667501493,304.44205064313394,,,,0.11202012337346134,0.10165544317844506,0.7103481114543817,0.18293641663008275,0.02542721946443629,0.020405455752037636,lda_classifier__raw_primary_with_maturity__best_candidate__shrinkage_0p5__solver_lsqr,lda_classifier,"LinearDiscriminantAnalysis(solver='lsqr',shrinkage=0.5)",raw_primary_with_maturity,best_candidate,"{""shrinkage"": 0.5, ""solver"": ""lsqr""}"
lda_classifier__best_candidate,lda,classification,bbob_train,FE_ratio,FE_ratio=0.25,,,0.25,19440,1530,0.0787037037037037,-0.06684412289960417,-0.05379598025536793,289.0381601639173,,,,0.14943377060537433,0.11512898094864846,0.7509143393072844,0.21091946322784189,0.11587447427747179,0.0508619689768262,lda_classifier__raw_primary_with_maturity__best_candidate__shrinkage_0p5__solver_lsqr,lda_classifier,"LinearDiscriminantAnalysis(solver='lsqr',shrinkage=0.5)",raw_primary_with_maturity,best_candidate,"{""shrinkage"": 0.5, ""solver"": ""lsqr""}"
lda_classifier__best_candidate,lda,classification,bbob_train,FE_ratio,FE_ratio=0.28,,,0.28,19440,1516,0.07798353909465021,-0.06678863875638497,-0.05595944523593056,294.83506110374555,,,,0.14530010596398604,0.11511399263310068,0.7691796688922269,0.21846486745327065,0.10123678441191881,0.041965936700643386,lda_classifier__raw_primary_with_maturity__best_candidate__shrinkage_0p5__solver_lsqr,lda_classifier,"LinearDiscriminantAnalysis(solver='lsqr',shrinkage=0.5)",raw_primary_with_maturity,best_candidate,"{""shrinkage"": 0.5, ""solver"": ""lsqr""}"
lda_classifier__best_candidate,lda,classification,bbob_train,FE_ratio,FE_ratio=0.3,,,0.3,19440,1403,0.07217078189300412,-0.07045501341769796,-0.05769358257385397,275.8794546370344,,,,0.1329232038604028,0.12878280521312335,0.7816728273485194,0.20752488253157866,0.11251267032592988,0.03486108789868214,lda_classifier__raw_primary_with_maturity__best_candidate__shrinkage_0p5__solver_lsqr,lda_classifier,"LinearDiscriminantAnalysis(solver='lsqr',shrinkage=0.5)",raw_primary_with_maturity,best_candidate,"{""shrinkage"": 0.5, ""solver"": ""lsqr""}"
lda_classifier__best_candidate,lda,classification,bbob_train,FE_ratio,FE_ratio=0.35,,,0.35,19440,1388,0.07139917695473251,-0.07482964941049443,-0.062069321341436653,257.6511044439708,,,,0.14620288168387635,0.0937271601998773,0.795916384048388,0.208329650052623,0.09386711755606614,0.023640378378229375,lda_classifier__raw_primary_with_maturity__best_candidate__shrinkage_0p5__solver_lsqr,lda_classifier,"LinearDiscriminantAnalysis(solver='lsqr',shrinkage=0.5)",raw_primary_with_maturity,best_candidate,"{""shrinkage"": 0.5, ""solver"": ""lsqr""}"
lda_classifier__best_candidate,lda,classification,bbob_train,FE_ratio,FE_ratio=0.4,,,0.4,19440,1376,0.07078189300411522,-0.08176159053440116,-0.06731035034538017,252.55187921031478,,,,0.13385822081432455,0.08696520025643921,0.7993912069103137,0.20467106404673807,0.08440669057155642,0.018054670838601922,lda_classifier__raw_primary_with_maturity__best_candidate__shrinkage_0p5__solver_lsqr,lda_classifier,"LinearDiscriminantAnalysis(solver='lsqr',shrinkage=0.5)",raw_primary_with_maturity,best_candidate,"{""shrinkage"": 0.5, ""solver"": ""lsqr""}"
lda_classifier__best_candidate,lda,classification,bbob_train,FE_ratio,FE_ratio=0.45,,,0.45,19440,911,0.04686213991769547,-0.09574364894010993,-0.0740343803226563,214.80823720368133,,,,0.10492222788157674,-0.014051017508624494,0.8328249679397159,0.1888242865038247,0.07740583636704094,0.01502986254485585,lda_classifier__raw_primary_with_maturity__best_candidate__shrinkage_0p5__solver_lsqr,lda_classifier,"LinearDiscriminantAnalysis(solver='lsqr',shrinkage=0.5)",raw_primary_with_maturity,best_candidate,"{""shrinkage"": 0.5, ""solver"": ""lsqr""}"
lda_classifier__best_candidate,lda,classification,bbob_train,FE_ratio,FE_ratio=0.5,,,0.5,19440,752,0.03868312757201646,-0.10761678906395437,-0.08153801385084204,216.74610973067038,,,,0.09684815676312589,-0.04881922758137903,0.8382975023225736,0.17059916102889944,0.0733175964871426,0.013679748183800907,lda_classifier__raw_primary_with_maturity__best_candidate__shrinkage_0p5__solver_lsqr,lda_classifier,"LinearDiscriminantAnalysis(solver='lsqr',shrinkage=0.5)",raw_primary_with_maturity,best_candidate,"{""shrinkage"": 0.5, ""solver"": ""lsqr""}"
lda_classifier__best_candidate,lda,classification,bbob_train,FE_ratio,FE_ratio=0.55,,,0.55,19440,784,0.040329218106995884,-0.12055088341199817,-0.09047622006570433,212.50845114181092,,,,0.07137712830052675,-0.06761968527770075,0.8178511809955544,0.16489694695920895,0.06907828172611985,0.012703500742192599,lda_classifier__raw_primary_with_maturity__best_candidate__shrinkage_0p5__solver_lsqr,lda_classifier,"LinearDiscriminantAnalysis(solver='lsqr',shrinkage=0.5)",raw_primary_with_maturity,best_candidate,"{""shrinkage"": 0.5, ""solver"": ""lsqr""}"
lda_classifier__best_candidate,lda,classification,bbob_train,FE_ratio,FE_ratio=0.6,,,0.6,19440,624,0.03209876543209877,-0.13902174819174842,-0.10198680721304745,192.65175785948037,,,,0.058017308517496625,-0.09061554989235829,0.8061427195076749,0.11108988336635331,0.06477714059899839,0.011576803965347455,lda_classifier__raw_primary_with_maturity__best_candidate__shrinkage_0p5__solver_lsqr,lda_classifier,"LinearDiscriminantAnalysis(solver='lsqr',shrinkage=0.5)",raw_primary_with_maturity,best_candidate,"{""shrinkage"": 0.5, ""solver"": ""lsqr""}"
lda_classifier__best_candidate,lda,classification,bbob_validation,all,all,,,,64800,3745,0.05779320987654321,-0.09152940558707323,-0.07597107961327272,743.0385345915533,,,,0.2832082983980546,0.06831752652338646,0.8111388547545009,0.17605513209048512,0.10309745644778581,0.019799003993017206,lda_classifier__raw_primary_with_maturity__best_candidate__shrinkage_0p5__solver_lsqr,lda_classifier,"LinearDiscriminantAnalysis(solver='lsqr',shrinkage=0.5)",raw_primary_with_maturity,best_candidate,"{""shrinkage"": 0.5, ""solver"": ""lsqr""}"
lda_classifier__best_candidate,lda,classification,bbob_validation,label_source,label_source=changed_algorithm,changed_algorithm,,,16560,2549,0.15392512077294687,-0.05116247729341551,-0.06176568779918107,607.1864253523988,,,,0.6294748880792619,0.34474251601029776,0.8795863721826591,0.5993019340821644,0.10361771828299045,0.018628711548852983,lda_classifier__raw_primary_with_maturity__best_candidate__shrinkage_0p5__solver_lsqr,lda_classifier,"LinearDiscriminantAnalysis(solver='lsqr',shrinkage=0.5)",raw_primary_with_maturity,best_candidate,"{""shrinkage"": 0.5, ""solver"": ""lsqr""}"
lda_classifier__best_candidate,lda,classification,bbob_validation,label_source,label_source=same_algorithm,same_algorithm,,,48240,1196,0.024792703150912105,-0.10538670932967216,-0.08462815497687234,135.85210923915443,,,,0.03589280620773009,-0.015913498828131412,0.7583193126821569,0.04605065784464677,0.10291885910137229,0.020382872763669464,lda_classifier__raw_primary_with_maturity__best_candidate__shrinkage_0p5__solver_lsqr,lda_classifier,"LinearDiscriminantAnalysis(solver='lsqr',shrinkage=0.5)",raw_primary_with_maturity,best_candidate,"{""shrinkage"": 0.5, ""solver"": ""lsqr""}"
