model_name,model_family,objective,eval_split,layer,group,label_source,dimension,FE_ratio,rows,u_gt_zero_rows,u_gt_zero_rate,mean_observed_utility,median_observed_utility,positive_utility_sum,threshold_mode,threshold,decision_ela_call_rows,decision_ela_call_rate,mean_observed_utility_under_calls,positive_rows_captured,positive_row_capture_rate,utility_capture_rate,precision_u_gt_zero_under_calls,unhelpful_call_rows,unhelpful_call_rate_within_calls,unhelpful_call_cost_sum,decision_utility_sum,decision_mean_utility,always_ela_mean_utility,never_ela_mean_utility,best_observed_action_mean_utility,candidate_id,base_model_name,estimator,feature_scheme,role,params_json
linear_svm_classifier__baseline,linear_svm,classification,bbob_validation,FE_ratio,FE_ratio=0.5,,,0.5,6480,477,0.07361111111111111,-0.08578559846269349,-0.08202974076197492,151.15391573733473,top_20,0.2017186595071388,1436,0.22160493827160493,-0.011189807955608816,327,0.6855345911949685,0.9131351105527249,0.2277158774373259,1109,0.7722841225626741,154.0925117815427,-16.068564224254246,-0.002479716701273803,-0.08578559846269349,0.0,0.023326221564403508,linear_svm_classifier__raw_primary_with_maturity__baseline__C_1p0__class_weight_balanced,linear_svm_classifier,"LinearSVC(C=1.0,class_weight='balanced',tol=1e-2)",raw_primary_with_maturity,baseline,"{""C"": 1.0, ""class_weight"": ""balanced""}"
linear_svm_classifier__baseline,linear_svm,classification,bbob_validation,FE_ratio,FE_ratio=0.55,,,0.55,6480,376,0.05802469135802469,-0.11228594071878435,-0.09215825578698267,79.68497550744864,zero,0.0,1905,0.29398148148148145,-0.08845624051524975,278,0.7393617021276596,0.8689959527842196,0.14593175853018373,1627,0.8540682414698163,237.75505939523333,-168.50913818155078,-0.026004496632955367,-0.11228594071878435,0.0,0.01229706412151985,linear_svm_classifier__raw_primary_with_maturity__baseline__C_1p0__class_weight_balanced,linear_svm_classifier,"LinearSVC(C=1.0,class_weight='balanced',tol=1e-2)",raw_primary_with_maturity,baseline,"{""C"": 1.0, ""class_weight"": ""balanced""}"
linear_svm_classifier__baseline,linear_svm,classification,bbob_validation,FE_ratio,FE_ratio=0.55,,,0.55,6480,376,0.05802469135802469,-0.11228594071878435,-0.09215825578698267,79.68497550744864,train_utility,0.929903506090854,243,0.0375,0.11982449341840343,91,0.24202127659574468,0.5980896322789692,0.37448559670781895,152,0.6255144032921811,18.541405798736584,29.117351900672038,0.004493418503190129,-0.11228594071878435,0.0,0.01229706412151985,linear_svm_classifier__raw_primary_with_maturity__baseline__C_1p0__class_weight_balanced,linear_svm_classifier,"LinearSVC(C=1.0,class_weight='balanced',tol=1e-2)",raw_primary_with_maturity,baseline,"{""C"": 1.0, ""class_weight"": ""balanced""}"
linear_svm_classifier__baseline,linear_svm,classification,bbob_validation,FE_ratio,FE_ratio=0.55,,,0.55,6480,376,0.05802469135802469,-0.11228594071878435,-0.09215825578698267,79.68497550744864,top_05,0.6054147556118301,304,0.04691358024691358,0.08462911093616132,96,0.2553191489361702,0.6332104147026835,0.3157894736842105,208,0.6842105263157895,24.73010666205169,25.727249724593037,0.003970254587128555,-0.11228594071878435,0.0,0.01229706412151985,linear_svm_classifier__raw_primary_with_maturity__baseline__C_1p0__class_weight_balanced,linear_svm_classifier,"LinearSVC(C=1.0,class_weight='balanced',tol=1e-2)",raw_primary_with_maturity,baseline,"{""C"": 1.0, ""class_weight"": ""balanced""}"
linear_svm_classifier__baseline,linear_svm,classification,bbob_validation,FE_ratio,FE_ratio=0.55,,,0.55,6480,376,0.05802469135802469,-0.11228594071878435,-0.09215825578698267,79.68497550744864,top_10,0.42582399219371353,481,0.07422839506172839,0.004936873120274202,111,0.29521276595744683,0.6475966193906019,0.23076923076923078,370,0.7692307692307693,49.229084783994765,2.374635970851884,0.0003664561683413401,-0.11228594071878435,0.0,0.01229706412151985,linear_svm_classifier__raw_primary_with_maturity__baseline__C_1p0__class_weight_balanced,linear_svm_classifier,"LinearSVC(C=1.0,class_weight='balanced',tol=1e-2)",raw_primary_with_maturity,baseline,"{""C"": 1.0, ""class_weight"": ""balanced""}"
linear_svm_classifier__baseline,linear_svm,classification,bbob_validation,FE_ratio,FE_ratio=0.55,,,0.55,6480,376,0.05802469135802469,-0.11228594071878435,-0.09215825578698267,79.68497550744864,top_20,0.2017186595071388,1239,0.1912037037037037,-0.08216011769274334,181,0.48138297872340424,0.7378459647447054,0.14608555286521388,1058,0.8539144471347861,160.59162345026067,-101.79638582130899,-0.01570931879958472,-0.11228594071878435,0.0,0.01229706412151985,linear_svm_classifier__raw_primary_with_maturity__baseline__C_1p0__class_weight_balanced,linear_svm_classifier,"LinearSVC(C=1.0,class_weight='balanced',tol=1e-2)",raw_primary_with_maturity,baseline,"{""C"": 1.0, ""class_weight"": ""balanced""}"
linear_svm_classifier__baseline,linear_svm,classification,bbob_validation,FE_ratio,FE_ratio=0.6,,,0.6,6480,447,0.06898148148148148,-0.11584131580446465,-0.10228898920926656,123.20350275094972,zero,0.0,1669,0.25756172839506175,-0.06343937815276687,337,0.7539149888143176,0.9189115439780219,0.2019173157579389,1332,0.7980826842420611,219.09344307334362,-105.88032213696798,-0.016339555885334565,-0.11584131580446465,0.0,0.019012886226998416,linear_svm_classifier__raw_primary_with_maturity__baseline__C_1p0__class_weight_balanced,linear_svm_classifier,"LinearSVC(C=1.0,class_weight='balanced',tol=1e-2)",raw_primary_with_maturity,baseline,"{""C"": 1.0, ""class_weight"": ""balanced""}"
linear_svm_classifier__baseline,linear_svm,classification,bbob_validation,FE_ratio,FE_ratio=0.6,,,0.6,6480,447,0.06898148148148148,-0.11584131580446465,-0.10228898920926656,123.20350275094972,train_utility,0.929903506090854,238,0.0367283950617284,0.30574587143505827,153,0.3422818791946309,0.6895193204151031,0.6428571428571429,85,0.35714285714285715,12.183678088051266,72.76751740154386,0.011229555154559237,-0.11584131580446465,0.0,0.019012886226998416,linear_svm_classifier__raw_primary_with_maturity__baseline__C_1p0__class_weight_balanced,linear_svm_classifier,"LinearSVC(C=1.0,class_weight='balanced',tol=1e-2)",raw_primary_with_maturity,baseline,"{""C"": 1.0, ""class_weight"": ""balanced""}"
linear_svm_classifier__baseline,linear_svm,classification,bbob_validation,FE_ratio,FE_ratio=0.6,,,0.6,6480,447,0.06898148148148148,-0.11584131580446465,-0.10228898920926656,123.20350275094972,top_05,0.6054147556118301,282,0.04351851851851852,0.2956098049889031,175,0.39149888143176736,0.7961928216827768,0.6205673758865248,107,0.37943262411347517,14.731779489609721,83.36196500687068,0.012864500772665228,-0.11584131580446465,0.0,0.019012886226998416,linear_svm_classifier__raw_primary_with_maturity__baseline__C_1p0__class_weight_balanced,linear_svm_classifier,"LinearSVC(C=1.0,class_weight='balanced',tol=1e-2)",raw_primary_with_maturity,baseline,"{""C"": 1.0, ""class_weight"": ""balanced""}"
linear_svm_classifier__baseline,linear_svm,classification,bbob_validation,FE_ratio,FE_ratio=0.6,,,0.6,6480,447,0.06898148148148148,-0.11584131580446465,-0.10228898920926656,123.20350275094972,top_10,0.42582399219371353,422,0.06512345679012346,0.14762943179221233,188,0.42058165548098436,0.8061966649430902,0.44549763033175355,234,0.5545023696682464,37.026632810808934,62.299620216313585,0.009614138922270615,-0.11584131580446465,0.0,0.019012886226998416,linear_svm_classifier__raw_primary_with_maturity__baseline__C_1p0__class_weight_balanced,linear_svm_classifier,"LinearSVC(C=1.0,class_weight='balanced',tol=1e-2)",raw_primary_with_maturity,baseline,"{""C"": 1.0, ""class_weight"": ""balanced""}"
