candidate_id,base_model_name,model_family,estimator,role,feature_scheme,feature_count,params_json,status,skip_reason,eval_split,rows,feature_fit_seconds,fit_seconds,prediction_seconds,roc_auc_u_gt_zero,average_precision_u_gt_zero,threshold,decision_ela_call_rate,decision_mean_utility,utility_capture_rate,precision_u_gt_zero_under_calls,unhelpful_call_cost_sum
linear_svm_classifier__raw_primary_with_maturity__best_candidate__C_0p1__class_weight_balanced,linear_svm_classifier,linear_svm,"LinearSVC(C=0.1,class_weight='balanced',tol=1e-2)",best_candidate,raw_primary_with_maturity,23,"{""C"": 0.1, ""class_weight"": ""balanced""}",completed,,bbob_train,194400,0.326904834000743,0.21898270800011232,0.0012820830015698448,0.8016903293525943,0.1931299184316631,0.9297941625753545,0.010771604938271605,0.00018617879957277963,0.0673375812824267,0.3314231136580707,132.89906769340172
linear_svm_classifier__raw_primary_with_maturity__best_candidate__C_0p1__class_weight_balanced,linear_svm_classifier,linear_svm,"LinearSVC(C=0.1,class_weight='balanced',tol=1e-2)",best_candidate,raw_primary_with_maturity,23,"{""C"": 0.1, ""class_weight"": ""balanced""}",completed,,bbob_validation,64800,0.326904834000743,0.21898270800011232,0.00043537500459933653,0.8128378634729199,0.17453650329439352,0.9297941625753545,0.035972222222222225,0.003984382703588915,0.5292369546763008,0.30673530673530675,135.05545206181313
softmax_logistic_classifier__raw_primary_with_maturity__best_candidate__C_0p1__class_weight_null__penalty_l2,softmax_logistic_classifier,softmax_logistic,"LogisticRegression(C=0.1,class_weight=None)",best_candidate,raw_primary_with_maturity,23,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",completed,,bbob_train,194400,0.326904834000743,0.09237041699816473,0.0018183329957537353,0.8028752113897286,0.20264118724458025,0.33291273423079965,0.013076131687242799,0.00025297333054482055,0.08172055924821824,0.34539732494099135,156.0314832659252
softmax_logistic_classifier__raw_primary_with_maturity__best_candidate__C_0p1__class_weight_null__penalty_l2,softmax_logistic_classifier,softmax_logistic,"LogisticRegression(C=0.1,class_weight=None)",best_candidate,raw_primary_with_maturity,23,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",completed,,bbob_validation,64800,0.326904834000743,0.09237041699816473,0.0008126659959089011,0.8094132290492091,0.1681792421189092,0.33291273423079965,0.03483024691358025,0.0027713001394570375,0.44385273921789015,0.26849800620292424,150.21943988609195
linear_svm_classifier__raw_primary_with_maturity__best_candidate__C_0p1__class_weight_null,linear_svm_classifier,linear_svm,"LinearSVC(C=0.1,class_weight=None,tol=1e-2)",best_candidate,raw_primary_with_maturity,23,"{""C"": 0.1, ""class_weight"": null}",completed,,bbob_train,194400,0.326904834000743,0.15709024999523535,0.0013346660052775405,0.8046427501925236,0.2023515800084879,-0.47651483699010644,0.013935185185185186,0.00029457772044006256,0.08624235039192908,0.3333333333333333,159.29831507617558
linear_svm_classifier__raw_primary_with_maturity__best_candidate__C_0p1__class_weight_null,linear_svm_classifier,linear_svm,"LinearSVC(C=0.1,class_weight=None,tol=1e-2)",best_candidate,raw_primary_with_maturity,23,"{""C"": 0.1, ""class_weight"": null}",completed,,bbob_validation,64800,0.326904834000743,0.15709024999523535,0.00042354100150987506,0.8139659452578324,0.1753070858452611,-0.47651483699010644,0.03830246913580247,0.004227785903877835,0.5596279778139582,0.306607574536664,141.86462598003422
softmax_logistic_classifier__raw_primary_with_maturity__best_candidate__C_0p3__class_weight_balanced__penalty_l2,softmax_logistic_classifier,softmax_logistic,"LogisticRegression(C=0.3,class_weight='balanced')",best_candidate,raw_primary_with_maturity,23,"{""C"": 0.3, ""class_weight"": ""balanced"", ""penalty"": ""l2""}",completed,,bbob_train,194400,0.326904834000743,0.10930895899946336,0.002058625002973713,0.8043390485268875,0.19541476296800142,0.9183349114878498,0.012016460905349795,0.00025613964491844407,0.07694347899580226,0.3343321917808219,143.4201669335266
softmax_logistic_classifier__raw_primary_with_maturity__best_candidate__C_0p3__class_weight_balanced__penalty_l2,softmax_logistic_classifier,softmax_logistic,"LogisticRegression(C=0.3,class_weight='balanced')",best_candidate,raw_primary_with_maturity,23,"{""C"": 0.3, ""class_weight"": ""balanced"", ""penalty"": ""l2""}",completed,,bbob_validation,64800,0.326904834000743,0.10930895899946336,0.0007086250043357722,0.8118124534566273,0.17619392939190326,0.9183349114878498,0.037237654320987655,0.004089659083507772,0.5435198128440202,0.306672192291753,138.8462566457925
linear_svm_classifier__raw_primary_with_maturity__best_candidate__C_0p3__class_weight_balanced,linear_svm_classifier,linear_svm,"LinearSVC(C=0.3,class_weight='balanced',tol=1e-2)",best_candidate,raw_primary_with_maturity,23,"{""C"": 0.3, ""class_weight"": ""balanced""}",completed,,bbob_train,194400,0.326904834000743,0.2215958749948186,0.0013704169978154823,0.8016897220890117,0.19313670244499828,0.9299772316611872,0.010766460905349794,0.00018646376936654174,0.0673375812824267,0.3315814620162446,132.84366956549437
linear_svm_classifier__raw_primary_with_maturity__best_candidate__C_0p3__class_weight_balanced,linear_svm_classifier,linear_svm,"LinearSVC(C=0.3,class_weight='balanced',tol=1e-2)",best_candidate,raw_primary_with_maturity,23,"{""C"": 0.3, ""class_weight"": ""balanced""}",completed,,bbob_validation,64800,0.326904834000743,0.2215958749948186,0.00045804199908161536,0.8128355980113358,0.1745361591201604,0.9299772316611872,0.03595679012345679,0.0039861289037395236,0.5292369546763008,0.30686695278969955,134.94229829205372
softmax_logistic_classifier__raw_primary_with_maturity__best_candidate__C_0p3__class_weight_null__penalty_l2,softmax_logistic_classifier,softmax_logistic,"LogisticRegression(C=0.3,class_weight=None)",best_candidate,raw_primary_with_maturity,23,"{""C"": 0.3, ""class_weight"": null, ""penalty"": ""l2""}",completed,,bbob_train,194400,0.326904834000743,0.11660262499935925,0.0022343750024447218,0.8029249049501135,0.20269084822223604,0.3385289771059528,0.012458847736625514,0.00024840449629733496,0.0788288045826167,0.3439306358381503,149.65814403218326
softmax_logistic_classifier__raw_primary_with_maturity__best_candidate__C_0p3__class_weight_null__penalty_l2,softmax_logistic_classifier,softmax_logistic,"LogisticRegression(C=0.3,class_weight=None)",best_candidate,raw_primary_with_maturity,23,"{""C"": 0.3, ""class_weight"": null, ""penalty"": ""l2""}",completed,,bbob_validation,64800,0.326904834000743,0.11660262499935925,0.0008106249952106737,0.8094518643535197,0.16826458964707447,0.3385289771059528,0.03425925925925926,0.0027141406760889148,0.43534430614408903,0.2689189189189189,147.60127946951883
linear_svm_classifier__raw_primary_with_maturity__best_candidate__C_0p3__class_weight_null,linear_svm_classifier,linear_svm,"LinearSVC(C=0.3,class_weight=None,tol=1e-2)",best_candidate,raw_primary_with_maturity,23,"{""C"": 0.3, ""class_weight"": null}",completed,,bbob_train,194400,0.326904834000743,0.1565580829992541,0.0013065419989288785,0.8046408295662951,0.20235475782857806,-0.4763903711002967,0.013919753086419753,0.00029535047560950924,0.08621536840764513,0.3333333333333333,159.08033667953492
linear_svm_classifier__raw_primary_with_maturity__best_candidate__C_0p3__class_weight_null,linear_svm_classifier,linear_svm,"LinearSVC(C=0.3,class_weight=None,tol=1e-2)",best_candidate,raw_primary_with_maturity,23,"{""C"": 0.3, ""class_weight"": null}",completed,,bbob_validation,64800,0.326904834000743,0.1565580829992541,0.00043695799831766635,0.813960797674272,0.17531222928021437,-0.4763903711002967,0.03830246913580247,0.004227785903877835,0.5596279778139582,0.306607574536664,141.86462598003422
softmax_logistic_classifier__raw_primary_with_maturity__best_candidate__C_1p0__class_weight_balanced__penalty_l2,softmax_logistic_classifier,softmax_logistic,"LogisticRegression(C=1.0,class_weight='balanced')",best_candidate,raw_primary_with_maturity,23,"{""C"": 1.0, ""class_weight"": ""balanced"", ""penalty"": ""l2""}",completed,,bbob_train,194400,0.326904834000743,0.11007758399500744,0.0021469999992405064,0.8043442362403836,0.1954332122639792,0.918385202109539,0.01205246913580247,0.0002544720033661691,0.07702709945176191,0.33418693982074266,143.95433680394913
softmax_logistic_classifier__raw_primary_with_maturity__best_candidate__C_1p0__class_weight_balanced__penalty_l2,softmax_logistic_classifier,softmax_logistic,"LogisticRegression(C=1.0,class_weight='balanced')",best_candidate,raw_primary_with_maturity,23,"{""C"": 1.0, ""class_weight"": ""balanced"", ""penalty"": ""l2""}",completed,,bbob_validation,64800,0.326904834000743,0.11007758399500744,0.0008370829964405857,0.8117948108465314,0.1761930310399025,0.918385202109539,0.037253086419753084,0.004086558466244095,0.5435198128440202,0.30654515327257664,139.04717664447872
